Restaurant,Town,Borough,Address,Service,Phone,Website,Merch,Gift cards,Other
Le Paris Dakar,Bed Stuy,Brooklyn,"518 Nostrand Ave, Brooklyn, NY 1121",pickup + delivery,(347) 955-4100,https://www.leparisdakar.com/,,,https://www.gofundme.com/f/le-paris-dakar?utm_source=customer&utm_medium=copy_link-tip&utm_campaign=p_cp+share-sheet
Milk and Pull,Bed Stuy,Brooklyn,"307 Malcolm X Blvd, Brooklyn, NY 11233",pick up,13476278511,https://milkandpull.square.site/,,,
Nyammings Caribbean Cuisine,Bed Stuy,Brooklyn,"355 Franklin Ave, Brooklyn, NY 11238",pick up,(718) 230-9700,,,,
The Mixtape Shop Cafe,Bed Stuy,Brooklyn,"1129 Bedford Ave, Brooklyn, NY 11216",coffee shop open for takeout on weekends,(347) 529-0222,https://themixtapeshop.com/,,,
Natural Blend Cafe,Bed Stuy,Brooklyn,"243 Malcolm X Blvd, Brooklyn, NY 11233",pick up and delivery,(347) 378-2440,http://naturalblendcafe.com/,,,
Peaches Hothouse Bed Stuy,Bed Stuy,Brooklyn,"415 Tompkins Ave, Brooklyn, NY 11216",pick up & delivery,(718) 483-9111,http://www.bcrestaurantgroup.com/hothouse,,,
Peaches Kitchen & Bar,Bed Stuy,Brooklyn,"393 Lewis Ave, Brooklyn, NY 11233",pick up and delivery,718-942-4162,http://www.bcrestaurantgroup.com/peaches,,,
Rustik Tavern,Bed Stuy ,Brooklyn,"471 Dekalb Ave, Brooklyn, NY 11205",pickup + delivery,(347) 406-9700,http://rustiktavern.com/,,,
Ricky's,Bed Stuy,Brooklyn,"1501 Fulton St, Brooklyn, NY 11216",pick up and delivery,(347) 240-1900,,,,
Liquid Assets (wine shop),Bed Stuy,Brooklyn,"504 Nostrand Ave, Brooklyn, NY 11216",pickup + delivery,(718) 676-0757,www.liquidassetsbk.com,,,
Sally's,Bed Stuy,Brooklyn,"151 Tompkins Ave Brooklyn, NY 11206",pick up,(718) 388-8788,https://www.sallysbk.com/,,,
Secret Garden Juice Bar and Tea House,Bed Stuy,Brooklyn,"347 Lewis Ave, Brooklyn, NY 11233",pick up,(347) 221-0719,https://www.instagram.com/bk_secretgarden/?hl=en,,,
"Sincerely, Tommy",Bed Stuy,Brooklyn,"343 Tompkins Ave, Brooklyn, NY 11216",pick up,(718) 484-8484,https://sincerelytommy.com/,,,
Shipwreck Seafood Boutique,Bed Stuy,Brooklyn,"1047 Bedford Ave, Brooklyn, NY 11216",pick up,(718) 484-7611,https://shipwreckseafoodbrooklyn.business.site/,,,
Spudz,Bed Stuy,Brooklyn,"1460 Fulton St, Brooklyn, NY 11216",pick up and delivery,(347) 295-1966,https://spudznyc.com/,,,
Sophia & Grace Cookie Co.,Bed-Stuy / Ocean Hieghts,Brooklyn,"163 Ralph Ave, Brooklyn, NY 11233",pickup + delivery,718-450-8034,https://www.instagram.com/sgcookiesco/?hl=en,,,
Taylor Made Jamaican Eatery,Bed Stuy,Brooklyn,"393 Classon Ave, Brooklyn, NY 11238",pick up and delivery,(718) 484-2310,http://www.taylormadejamaicaneatery.com/,,,
Zaca Cafe,Bed Stuy,Brooklyn,"426 Marcus Garvey Blvd, Brooklyn, NY 11216",pick up and delivery,(718) 443-2500,https://www.zacacafe.com/,,,
The Armory,Boerum Hill / Park Slope,Brooklyn,"67 4th Ave, Brooklyn, NY 11217",pickup + delivery drinks & veg boxes ,19293378476,https://www.thearmorybk.com/,,,
The Soul Spot ,Boerum Hill / Park Slope,Brooklyn,"302 Atlantic Ave, Brooklyn, NY 11201",pick up & delivery,(718) 596-9933,https://soulspotrestaurant.com/,,,
Bunna Cafe,Bushwick ,Brooklyn,"1084 Flushing Ave, Brooklyn, NY 11237",pickup + delivery,"(347) 295-2227	",https://bunnaethiopia.net/,,,
Hills Kitchen,Bushwick,Brooklyn,"252 Knickerbocker Ave, Brooklyn, NY 11237",pickup + delivery,(929) 480-8775,hillskitchenonline.com,,,
Paradis des Gouts,Bushwick,Brooklyn,"1136 Broadway, Brooklyn, NY 11221",closed,,,,,
Sol Sips,Bushwick ,Brooklyn,"203 Wilson Ave, Brooklyn, NY 11237",pickup + delivery,718-683-0482,https://www.solsipsnyc.com/ / https://www.solsips2go.com/,,,Donate to COVID-19 Meal kits: https://www.paypal.com/donate/?token=Vz8wfsAVjwJ_NtuZWoGJZPwuTMehErS-Jv58BUAcur-l8-fCu-li9U8IUqXf5WwuRu7puG&country.x=US&locale.x=US
Sally Roots,Bushwick,Brooklyn,"195 Wyckoff Ave, Brooklyn, NY 11237",pickup + delivery,(347) 425-0888,http://www.sallyroots.com/,,,
Food Sermon Kitchen,Brooklyn Navy Yard,Brooklyn,"141 Flushing Ave Building 77, Brooklyn, NY 11205",,718-484-7555,https://www.instagram.com/thefoodsermon/?hl=en,,,Closed Saturday/Sunday
Collective Fare,Brownsville,Brooklyn,"69 Belmont Ave, Brooklyn NY 11212",pickup + delivery,929.229.0029,https://www.collectivefare.com/mealsforall,,,
Honey Bee's Kitchen,Canarsie,Brooklyn,"9322 Avenue L, Brooklyn, NY 11236",pickup + delivery,(718) 975-2006,https://www.facebook.com/Honeybeeskitchen/,,,
Buka,Clinton Hill,Brooklyn,946 Fulton Street,pickup + delivery,347.763.0619,https://bukanewyork.com/,,,
Brooklyn Sweet Spot,Clinton Hill,Brooklyn,"366 Myrtle Ave, Brooklyn, NY 11205",pick up,(347) 916-0494,,,,
Baby Jane,Clinton Hill,Brooklyn,"899 Fulton St, Brooklyn, NY 11238",pick up,(646) 469-3333,,,,
Chance11 ,Clinton Hill,Brooklyn,"895 Fulton St, Brooklyn, NY 11238",,,http://chance11.com/,,,
Heritage Wines,Clinton Hill,Brooklyn,"237 Dekalb Ave, Brooklyn, NY 11205",pick up,(718) 237-1525,https://heritagewinesnyc.com/,,,
Mac Shack,Clinton Hill,Brooklyn,"901 Fulton St, Brooklyn, NY 11238",pick up and delivery,(718) 230-0727,https://www.macshackny.com/copy-of-fulton-st,,,
Sisters,Clinton Hill,Brooklyn,"900 Fulton St, Brooklyn, NY 11238",pick up,(347) 763-2537,https://www.sistersbklyn.com/,,,
Soco ,Clinton Hill ,Brooklyn,"509 Myrtle Ave, Brooklyn, NY 11205",pickup + delivery,718)-783-1936,http://socobk.com/,,,
Wray's,Clinton Hill,Brooklyn,"503 Myrtle Ave, Brooklyn, NY 11205",pick up and delivery,(718) 789-1111,https://wraysrestaurant.com/,,,
95 South Soul Food Restaurant,Crown Heights,Brooklyn,"778 Franklin Ave, Brooklyn, NY 11238",pick up,(347) 750-6180,https://sites.google.com/view/95southsoulfood/home,,,
The Bergen,Crown Heights,Brooklyn,"1299 Bergen St, Brooklyn, NY 11213",pick up & delivery,(347) 240-7046,http://www.thebergenbk.com,,Cash App: $bu2018 or Venmo: $thebergenbk to donate to free lunch program. ,Provides lunches to students. 
Essence Restaurant and Bar,Crown Heights,Brooklyn,"1662 Atlantic Ave, Brooklyn, NY 11213",pick up and delivery,(718) 467-3300,https://www.essencebar.com/,,,
Bleu Fin Bar & Grill ,Crown Heights,Brooklyn,"637 Nostrand Ave, Brooklyn, NY 11216",pickup + delivery,(718) 576-2500,https://bleu-fin.com/,,,
Breukelen Coffee House,Crown Heights,Brooklyn,"764 Franklin Ave, Brooklyn, NY 11238",takeout,(718) 789-7070,,,,
Brooklyn Suya,Crown Heights,Brooklyn,"717 Franklin Ave, Brooklyn, NY 11238",pickup + 3rd party delivery,718 513 0122,https://www.brooklynsuya.com/,,,
Cafe Rue Dix ,Crown Heights,Brooklyn,"1451 Bedford Ave, Brooklyn, NY 11216",pick up & delivery,929-234-2543,https://www.caferuedix.com/,,,
Coffee Spot,Crown Heights,Brooklyn,"679 Classon Ave, Brooklyn, NY 11238",pick up,(718) 616-8657,https://www.instagram.com/coffeespotbk/,,,https://www.gofundme.com/f/support-for-our-favorite-quotcoffee-spotquot?utm_source=customer&utm_medium=sms&utm_campaign=p_cp+share-sheet
Fresh Remedy,Crown Heights,Brooklyn,"354 Rogers Ave, Brooklyn, NY 11225",pick up,(718) 282-2431,https://www.instagram.com/freshremedyhealth/,,,
Greedi To Go,Crown Heights,Brooklyn,"1031 Bergen St, Brooklyn, NY 11216",Pickup and delivery ,(347) 627-7900,https://greedi-kitchen.com/#,,,
Island Pops (ice cream!),Crown Heights,Brooklyn,"680 Nostrand Ave, Brooklyn, NY 11216",pickup + delivery,(347) 232-1777,https://islandpops.com/,,,
Ital Kitchen,Crown Heights,Brooklyn,"1032 Union St, Brooklyn, NY 11225",pickup + delivery,347 405 9727,https://www.italkitchenbk.com/,,,
Irie Caribbean Kitchen and Bakery,Crown Heights,Brooklyn,"126 Utica Ave, Brooklyn, NY 11213",pick up and delivery,(347) 295-3628,,,,
Lakou Cafe,Crown Heights,Brooklyn,"195 Utica Ave, Brooklyn, NY 11213",pick up and delivery,(347) 295-0566,https://www.lakoucafe.com/,,,
Living Well Garden Juice Bar,Crown Heights,Brooklyn,"1534 St Johns Pl, Brooklyn, NY 11213",pick up,(718) 484-0860,,,,
LSC Brooklyn,Crown Heights,Brooklyn,"665 Franklin Ave Brooklyn, NY 11238",pick up,,,,,
Gloria's Caribbean Cuisine,Crown Heights,Brooklyn,"764 Nostrand Ave, Brooklyn, NY 11216",Pickup and delivery ,(718) 550-3585,https://gloriascaribbeanbrooklyn.com/17946,,,
Meme's Healthy Nibbles,Crown Heights,Brooklyn,"707 Nostrand Ave, Brooklyn, NY 11216",pickup + delivery,(718) 493-1375,http://www.memeshealthynibbles.com/,,,
Peppa's (Crown Heights),Crown Heights,Brooklyn,"791 Prospect Place, Brooklyn, NY ",pick up & delivery,718-450-3987,peppasonline.com ,,,
Pikliz Cafe and Lounge,Crown Heights,Brooklyn,"903 Franklin Ave, Brooklyn, NY 11225",pickup + 3rd party delivery,347-627-2191,https://www.instagram.com/pikliz_718/,,,
Ras Plant Based Ethiopian,Crown Heights,Brooklyn,"739 Franklin Ave, Brooklyn, NY 11238",pickup + delivery,718.622.6220,https://www.rasplantbased.com/,,,
Savvy Bistro & Bar,Crown Heights,Brooklyn,"710 Nostrand Ave, Brooklyn, NY 11216",pickup + delivery,347) 533-7880,https://savvybistro.com/,,,
Soul of the Sea,Crown Heights,Brooklyn,"527 Albany Ave, Brooklyn, NY 11203",pick up and delivery,(347) 990-9580,,,,
Sweet Brooklyn Bar & Grill,Crown Heights,Brooklyn,"608 Nostrand Ave, Brooklyn, NY 11216",pickup + delivery,(347) 425-0111,sweetbkbar.com,,,
The Crabby Shack ,Crown Heights,Brooklyn,"613 Franklin Ave, Brooklyn, NY 11238",pick up & delivery ,718 484 1507  ,https://www.thecrabbyshack.com/about-us,,,
Tamra Teahouse,Crown Heights,Brooklyn,"1524 Bergen St, Brooklyn, NY 11213",pick up and delivery,(347) 406-7710,,,,
Trinidad Golden Place,Crown Heights,Brooklyn,"788 Nostrand Ave, Brooklyn, NY 11216",pickup ,17187357065,,,,
Veggies Natural Juice Bar,Crown Heights,Brooklyn,"785 Franklin Ave, Brooklyn, NY 11238",pickup,(347) 627-3247,,,,
Amarachi Lounge,DUMBO,Brooklyn,"189 Bridge St, Brooklyn, NY 11201",,,http://amarachi325.com/,,,
Sweet Science,East Williamsburg,Brooklyn,"135 Graham Ave, Brooklyn, NY 11206",pickup + delivery,(347) 763-0872,http://www.sweetsciencebklyn.com/,,,
Akwaaba Restaurant,Flatbush,Brooklyn,"604 Parkside Ave, Brooklyn, NY 11226",pick up,(347) 985-2588,,,,
Ali's Trinidad Roti Shop,Flatbush,Brooklyn,"1267 Fulton St, Brooklyn, NY 11216",pick up and delivery,(718) 783-0316,,,,
Bake & Things,Flatbush,Brooklyn,"1489 Flatbush Ave, Brooklyn, NY 11210",pick up and delivery,(718) 434-1080,,,,
Brooklyn Perk Coffee,Flatbush,Brooklyn,"605 Flatbush Ave, Brooklyn, NY 11225",pick up,(917) 966-9331,,,,
D & P,Flatbush,Brooklyn,"3405 Church Ave, Brooklyn, NY 11203",pickup and delivery,(718) 462-3078,,,,
Errol's Caribbean Bakery,Flatbush,Brooklyn,"661 Flatbush Ave, Brooklyn, NY 11225",pick up and delivery,(718) 469-6078,,,,
Island Burger (Flatbush),Flatbush,Brooklyn,"2093 Nostrand Ave, Brooklyn, NY 11210",pickup + delivery,(347) 789-9955,www.instagram.com/islandburger/,,,
Island Express,Flatbush,Brooklyn,"998 Flatbush Ave, Brooklyn, NY 11226",pickup + delivery,718-469-9049,,,,
Jen's Roti Shop,Flatbush,Brooklyn,"838 Flatbush Ave, Brooklyn, NY 11226",pick up and delivery,(718) 975-7313,,,,
Four Seasons Bakery and Juice Bar,Flatbush,Brooklyn,"2281 Church Ave, Brooklyn, NY 11226",pick up and delivery,(718) 693-7996,,,,
Lips Cafe,Flatbush,Brooklyn,"1412 Nostrand Ave, Brooklyn, NY 11226",pickup,(917) 387-7870,https://www.facebook.com/lipscafebk,,,
MangoSeed & Zurilee,Flatbush ,Brooklyn,"757 Flatbush Ave, Brooklyn, NY 11226",pick up & delivery,(347) 529-1080,https://www.mangoseedbrooklyn.com/,,,
Tasty Caribbean,Flatbush,Brooklyn,"856 Utica Ave, Brooklyn, NY 11203",pickup + delivery,(718) 282-8652,https://www.instagram.com/tastycaribbeanny/,,,
Suzy's Roti Parlous,Flatbush,Brooklyn,"907 Church Ave, Brooklyn, NY 11218",pick up and delivery,(718) 282-8190,https://www.suzysroti.com/,,,
Sip Unwine,Flatbush,Brooklyn,"1197 Flatbush Ave, Brooklyn, NY 11226",catering only for now ,(718) 576-6424,https://www.sipunwine.com/,,,sipunwine@gmail.com for catering
Island Burger (Wingate),Wingate,Brooklyn,"504 Utica Ave, Brooklyn, NY 11203",pickup + delivery,(718) 495-2474,www.instagram.com/islandburger/,,,
Imani Kitchen + Bar,Fort Greene,Brooklyn,"271 Adelphi Street, Brooklyn, New York, NY 11205",pickup + delivery,(718) 923-0100,https://www.imaninyc.com/,,,
Peaches Hothouse Fort Greene ,Fort Greene,Brooklyn,"87 S Elliott Pl, Brooklyn, NY 11217",pick up & delivery,718-797-1011,http://www.bcrestaurantgroup.com/hothouse-fort-greene,,,
BitterSweet,Fort Greene,Brooklyn,"180 Dekalb Ave, Brooklyn, NY 11205",pick up,(718) 852-2556,https://www.instagram.com/bittersweetcoffeebk/?hl=en,,,
Buff Patty,Fort Greene,Brooklyn,"376 Myrtle Ave, Brooklyn, NY 11205",pick up and delivery,(718) 855-3266,,,,
Bati Kitchen,Fort Greene,Brooklyn,"747 Fulton St, Brooklyn, NY 11217",pick up + delivery,(718) 797-9696,https://www.batikitchen.com/,,,
Dick and Jane's,Fort Greene,Brooklyn,"266 Adelphi St, Brooklyn, NY 11205",pick up,,http://dickandjanesbk.com/,,,
Move with Grace Juice Bar,Fort Greene,Brooklyn,"431 Myrtle Ave, Brooklyn, NY 11205",pick up and delivery,(718) 230-0013,,,,
Bleachers Sports Bar,Park Slope,Brooklyn,"240 Flatbush Ave, Brooklyn, NY 11217",pickup + delivery,(718) 857-1111,https://www.instagram.com/240bleachers/?hl=en,,,
BK9,Park Slope,Brooklyn,"62 5th Ave, Brooklyn, NY 11217",pick up and delivery,(718) 789-2176,https://www.bk9.nyc/,,,
Le Succulent,Park Slope,Brooklyn,"291 5th Ave, Brooklyn, NY 11215",pickup + delivery,347-227-8282,https://lesucculent.com/,,,
Negril Brooklyn,Park Slope,Brooklyn,"256 5th Ave, Brooklyn, NY 11215",pick up & delivery ,(347) 721-3801,https://negrilbk.com/,,,Direct app ordering available
Philly Pretzel Factory,Park Slope,Brooklyn,"131 5th Ave, Brooklyn, NY 11217",pickup + delivery,917.909.0345,https://phillypretzelfactory.com/locations/brooklyn/,,,
Ghenet,Park Slope / Gowanus,Brooklyn,"348 Douglass St, Brooklyn, NY 11217",pickup + delivery,347-689-2715‬,https://www.instagram.com/ghenetbrooklyn/?hl=en,,,
Daleview Biscuits & Beer,PLG ,Brooklyn,"1170 Nostrand Ave. Brooklyn, NY 11225",pick up,347-240-5110,https://www.biscuitsandbeer.nyc/,,,
De Hot Pot,PLG,Brooklyn,"1127 Washington Ave, Brooklyn, NY 11225",pick up,(347) 240-1180,,,,
Katie O's Soul Food,PLG,Brooklyn,"452 E New York Ave, Brooklyn, NY 11225",pickup + delivery,(718) 773-7685,http://www.katieossoulfood.com/,,,
MCG Grand Cafe,PLG,Brooklyn,"1199 Nostrand Ave, Brooklyn, NY 11225",pick up + delivery,(718) 774-0555,https://www.restaurantji.com/ny/brooklyn/mcg-grand-cafe-/,,,
Mo's Original,PLG,Brooklyn,"453 Rogers Ave, Brooklyn, NY 11225",pick up,718-513-0698,https://mosoriginalnyc.square.site/s/order,,,
Peppa's (PLG) ,PLG,Brooklyn,"738 Flatbush Ave, Brooklyn, NY 11226",pick up + delivery,(646) 683-6012,,,,
Honey Badger,PLG,Brooklyn,"67 Fenimore St, Brooklyn, NY 11225",pick up,(646) 670-0601,https://www.honeybadgerbk.com/,,,
& Sons,PLG ,Brooklyn,"447 Rogers Ave, Brooklyn, NY 11225",pick up only ,718.284.0159,andsonsnyc.com,,,
Jus Fishy,PLG,Brooklyn,"555 Flatbush Ave, Brooklyn, NY 11225",pick up and delivery,(718) 826-0616,menu: https://www.allmenus.com/ny/brooklyn/323267-jus-fishy/menu/,,,
Allan's Bakery,PLG,Brooklyn,"1109, 1111 Nostrand Ave #1107, 11225",pick up and delivery,(718) 774-7892,http://www.allansbakery.com/,,,
PLG Coffee House and Tavern,PLG,Brooklyn,"499 Rogers Ave, Brooklyn, NY 11225",pickup + delivery,(347) 413-7944,http://plgcoffeehousetavern.com/,,http://plgcoffeehousetavern.com/gift-cards,
Zanmi,PLG,Brooklyn,"1206 Nostrand Ave, Brooklyn, NY 11225",pickup + delivery,(718) 676-1047,https://www.zanminyc.com/,,,
BierWax,Prospect Heights,Brooklyn,"556 Vanderbilt Ave, Brooklyn, NY 11238",pickup + delivery,347-533-8449,https://www.bierwaxnyc.com/,,,
Mitchell's Soul Food,Prospect Heights,Brooklyn,"617 Vanderbilt Ave, Brooklyn, NY 11238",pick up,(718) 789-3212,menu: https://www.allmenus.com/ny/brooklyn/250397-mitchells-soul-food/menu/,,,
Nûrish,Prospect Heights,Brooklyn,"637 Washington Ave, Brooklyn, NY 11215",pick up and delivery,(718) 484-1122,https://www.nurishbk.com/,,,
Cheryl's Global Soul,Prospect Heights,Brooklyn,"236 Underhill Ave, Brooklyn, NY 11238",pick up & delivery,347-529-2855,https://www.cherylsglobalsoul.com/,,,
Ode to Babel/GoodLife BK,Prospect Heights,Brooklyn,"772 Dean St, Brooklyn, NY 11238",pick up ,(718) 484-3847,http://www.odetobabel.com/,,,https://www.gofundme.com/f/ode-to-babel-team?utm_medium=copy_link&utm_source=customer&utm_campaign=p_lico+share-sheet
Sugarcane ,Prospect Heights,Brooklyn,"238 Flatbush Ave, Brooklyn, NY 11217",pickup + delivery,718.230.3954,http://www.sugarcanerestaurant.com/default.aspx?pageid=1,,,
Sit & Wonder,Prospect Heights,Brooklyn,"688 Washington Ave, Brooklyn, NY 11238",pick up,(718) 622-0299,http://sitandwonder.net/index.html,,,
333 Lounge,Prospect Heights,Brooklyn,"333 Flatbush Ave, Brooklyn, NY 11217",pickup + delivery,718-399-8008,http://333lounge.com/,,,
Breukelen Rub (Spice and Seasoning shop),Sunset Park,Brooklyn,"34 35th Street, Brooklyn, NY 11232, US",Delivery only,347-547-9626,https://www.breukelenrub.com/,,,
Extra Virgin,East Village,Manhattan,"259 West 4th Street, New York, NY 10014",pick up and delivery,(212) 691-9359,,,,
Haile,East Village,Manhattan,"182 Avenue B, New York, NY 10009",,(212) 673-8949,http://hailecuisine.com,,,
Mikey Likes It,East Village,Manhattan,"199 Avenue A, New York, NY 10009",,,https://mikeylikesiticecream.com,,,
Brooklyn Chop House,Financial District,Manhattan,"150 Nassau St, New York, NY 10038",Pickup and delivery ,212-619-1200,https://www.brooklynchophouse.com,,,
Berber Street Food,Greenwich Village,Manhattan,"35 Carmine St, New York, NY 10014",pickup+ delivery,(646) 870-0495,https://berberstreetfood.com,,,
Negril Village,Greenwich Village,Manhattan,"70 W 3rd St, New York, NY 10012",pick up & delivery ,,http://negrilnyc.com/,,,
